record_id,date,city,country,region,temperature_c,humidity_pct,rainfall_mm,wind_speed_kmh,pressure_hpa
983,2025-03-24,New York,USA,North America,15.7,72.6,6.3,15.9,1005.4
220,2025-02-09,Tokyo,Japan,Asia,18.3,60.6,0.0,20.5,1015.1
1022,2025-02-01,Los Angeles,USA,North America,20.6,46.8,1.2,8.6,1013.5
469,2025-01-19,Mumbai,India,Asia,31.0,73.4,8.0,11.8,1000.1
1834,2025-02-03,Cape Town,South Africa,Africa,19.1,55.0,0.0,16.6,1015.1
2057,2025-03-18,Auckland,New Zealand,Oceania,19.7,77.5,8.2,16.4,1013.7
1394,2025-02-13,Buenos Aires,Argentina,South America,22.1,63.4,2.7,14.6,1018.0
1126,2025-02-15,Mexico City,Mexico,North America,19.6,60.6,6.8,10.1,1015.2
1382,2025-02-01,Buenos Aires,Argentina,South America,20.8,58.7,1.6,9.8,1007.7
1027,2025-02-06,Los Angeles,USA,North America,21.5,61.8,2.6,17.7,1003.5
886,2025-03-17,Moscow,Russia,Europe,6.0,70.8,0.0,15.6,1010.1
1776,2025-03-07,Nairobi,Kenya,Africa,21.8,57.8,0.0,18.4,1009.1
434,2025-03-15,Beijing,China,Asia,14.3,38.5,0.0,13.6,1015.8
825,2025-01-15,Moscow,Russia,Europe,4.5,66.9,5.8,16.2,1014.8
1414,2025-03-05,Buenos Aires,Argentina,South America,19.2,64.9,2.2,24.6,1000.5
863,2025-02-22,Moscow,Russia,Europe,8.3,54.0,4.0,17.3,1010.5
1423,2025-03-14,Buenos Aires,Argentina,South America,19.4,69.3,8.3,9.3,1019.4
1955,2025-03-06,Sydney,Australia,Oceania,11.8,67.3,,13.7,1011.2
1707,2025-03-28,Lagos,Nigeria,Africa,28.8,70.5,8.9,23.3,1020.6
1520,2025-03-21,Lima,Peru,South America,21.3,62.4,0.0,21.0,1014.5
1170,2025-03-31,Mexico City,Mexico,North America,19.6,81.4,0.0,9.5,1009.6
1700,2025-03-21,Lagos,Nigeria,Africa,32.8,86.3,11.8,4.3,1019.4
638,2025-01-08,Paris,France,Europe,15.9,62.4,6.6,20.4,1024.0
1635,2025-01-15,Lagos,Nigeria,Africa,26.7,92.1,8.1,10.3,1010.2
357,2025-03-28,Singapore,Singapore,Asia,28.5,79.3,3.0,19.6,1013.5
334,2025-03-05,Singapore,Singapore,Asia,31.5,150.0,7.0,20.0,1016.3
1353,2025-01-03,Buenos Aires,Argentina,South America,20.3,66.4,4.2,25.0,1000.3
679,2025-02-18,Paris,France,Europe,11.0,65.6,2.7,14.5,1024.8
495,2025-02-14,Mumbai,India,Asia,33.5,88.9,2.9,6.7,1014.8
314,2025-02-13,Singapore,Singapore,Asia,30.0,80.5,11.1,5.6,1009.8
2051,2025-03-12,Auckland,New Zealand,Oceania,17.4,86.0,6.1,10.4,1013.3
1106,2025-01-26,Mexico City,Mexico,North America,17.2,66.9,3.1,,1012.3
2039,2025-02-28,Auckland,New Zealand,Oceania,16.3,75.9,8.3,14.9,1011.0
1822,2025-01-22,Cape Town,South Africa,Africa,,71.1,3.8,24.2,1015.5
1462,2025-01-22,Lima,Peru,South America,12.9,83.2,6.7,8.7,1007.2
1365,2025-01-15,Buenos Aires,Argentina,South America,24.0,82.7,0.0,18.3,1017.5
1868,2025-03-09,Cape Town,South Africa,Africa,20.2,76.1,1.2,15.2,1013.1
1017,2025-01-27,Los Angeles,USA,North America,17.3,150.0,1.3,8.6,1018.7
517,2025-03-08,Mumbai,India,Asia,32.6,73.1,5.8,22.3,1019.6
1671,2025-02-20,Lagos,Nigeria,Africa,26.3,77.5,8.7,19.6,1026.2
2000,2025-01-20,Auckland,New Zealand,Oceania,19.6,62.0,1.2,18.0,1016.9
464,2025-01-14,Mumbai,India,Asia,30.0,76.7,3.5,11.7,1006.4
1705,2025-03-26,Lagos,Nigeria,Africa,30.4,83.6,5.0,8.9,1002.5
1582,2025-02-21,Cairo,Egypt,Africa,,45.7,,19.6,1017.7
545,2025-01-05,London,UK,Europe,16.2,74.0,0.0,23.9,1024.8
615,2025-03-16,London,UK,Europe,11.7,91.6,3.8,24.8,1008.6
305,2025-02-04,Singapore,Singapore,Asia,33.3,84.7,8.1,9.2,1010.8
979,2025-03-20,New York,USA,North America,14.9,52.2,0.7,14.3,1006.6
1159,2025-03-20,Mexico City,Mexico,North America,16.8,37.9,4.2,15.8,1011.3
525,2025-03-16,Mumbai,India,Asia,33.6,76.3,6.3,23.5,1015.5
2010,2025-01-30,Auckland,New Zealand,Oceania,17.3,81.6,4.8,17.7,1015.6
